Client ID,Transaction Count,Total Execution Time,Mean Latency,Throughput,Median,95th Percentile,99th Percentile
29,19965,8508.02,425.57,2.35,280.80,1258.31,2095.35
37,19958,8762.59,438.32,2.28,286.91,1272.90,2111.88
30,19959,8805.79,440.06,2.27,282.14,1274.53,2159.91
34,19960,8844.55,442.07,2.26,275.58,1264.09,2126.63
33,19957,8850.28,442.84,2.25,289.69,1264.21,2181.82
32,19954,9010.97,450.91,2.21,278.85,1266.07,2089.53
39,19958,10060.12,503.43,1.98,269.40,1273.98,2133.57
38,19956,10589.75,529.97,1.88,275.70,1295.54,2181.83
36,19960,10594.57,530.12,1.88,277.85,1245.87,2089.18
11,19946,10983.80,549.39,1.82,407.99,1430.89,2262.51
14,19963,11534.79,577.15,1.73,434.06,1481.90,2282.54
10,19958,11557.33,578.20,1.73,395.19,1451.17,2289.81
16,19952,11556.72,578.43,1.73,459.57,1588.50,2414.01
9,19964,11679.15,584.28,1.71,457.76,1545.43,2273.59
3,19956,11760.10,587.97,1.70,464.64,1617.64,2447.68
27,19947,11753.20,588.36,1.70,457.20,1566.57,2252.51
5,19954,11964.94,598.42,1.67,458.31,1586.25,2345.80
2,19935,11989.13,600.21,1.66,458.48,1559.70,2352.67
23,19946,11997.78,600.48,1.66,461.57,1578.35,2365.92
0,19957,12129.16,607.09,1.65,452.38,1615.03,2401.60
22,19956,12138.09,607.53,1.64,435.69,1530.39,2259.75
25,19950,12181.66,609.02,1.64,442.03,1575.23,2318.94
21,19950,12224.74,611.84,1.63,444.74,1568.73,2347.57
19,19963,12298.91,615.39,1.62,441.02,1540.06,2344.42
4,19954,12363.04,618.83,1.61,424.82,1547.68,2293.05
17,19952,12353.40,618.55,1.62,438.67,1554.19,2367.31
1,19948,12539.72,627.85,1.59,418.43,1533.13,2341.94
28,19959,12513.67,626.03,1.59,412.91,1571.77,2330.77
24,19949,12617.71,631.54,1.58,408.37,1559.32,2359.57
20,19953,12638.69,632.21,1.58,420.43,1574.51,2395.63
8,19948,12707.36,635.91,1.57,388.48,1510.67,2303.34
26,19957,12700.72,635.74,1.57,429.09,1568.35,2372.19
13,19951,12813.69,641.42,1.56,334.28,1425.97,2262.82
35,19959,12883.15,644.84,1.55,270.70,1261.82,2156.08
18,19957,12923.65,646.80,1.54,359.81,1500.92,2223.71
15,19954,13250.39,663.42,1.51,411.17,1562.37,2314.85
12,19962,13514.73,676.46,1.48,316.43,1409.95,2177.19
31,19949,13532.01,677.58,1.47,235.72,1254.01,2106.81
7,19955,13580.56,679.86,1.47,304.94,1457.49,2218.42
6,19958,13925.72,697.18,1.43,362.34,1516.30,2269.20
