Client ID,Transaction Count,Total Execution Time,Mean Latency,Throughput,Median,95th Percentile,99th Percentile
4,20000,6706.44,335.26,2.98,11.20,1293.62,6023.12
2,20000,6731.27,336.50,2.97,11.34,1406.46,5891.60
6,20000,6796.07,339.74,2.94,11.13,1419.02,6036.87
7,20000,6814.43,340.66,2.93,11.15,1379.50,6267.07
3,20000,6841.41,342.01,2.92,11.36,1381.58,6063.40
1,20000,6849.83,342.43,2.92,11.23,1328.75,6296.56
0,20000,6902.83,345.08,2.90,11.13,1407.20,6386.59
5,20000,6964.39,348.16,2.87,11.24,1376.67,6295.86
39,20000,7096.68,354.76,2.82,11.12,1209.92,5860.13
33,20000,7608.08,380.34,2.63,11.37,1419.95,6122.20
34,20000,7642.37,382.05,2.62,11.24,1460.27,6629.55
35,20000,7649.15,382.39,2.61,11.17,1422.33,6183.44
36,20000,7653.60,382.61,2.61,11.36,1495.56,6093.19
32,20000,7772.94,388.58,2.57,11.21,1466.45,6470.25
38,20000,7797.92,389.83,2.56,11.14,1414.78,6464.56
37,20000,7859.31,392.90,2.54,11.13,1440.19,6455.71
16,20000,7901.44,395.00,2.53,11.62,1413.60,7746.69
17,20000,7908.09,395.31,2.53,11.53,1412.01,7430.73
18,20000,7907.94,395.33,2.53,11.66,1412.66,8061.53
21,20000,8010.98,400.48,2.50,11.59,1390.94,8147.72
22,20000,8018.43,400.85,2.49,11.55,1464.74,7290.20
19,20000,8063.30,403.09,2.48,11.66,1459.75,7856.03
20,20000,8078.21,403.85,2.48,11.44,1448.89,7971.80
12,20000,8258.98,412.87,2.42,11.89,1770.45,7673.69
23,20000,8319.74,415.92,2.40,11.56,1379.68,7802.33
10,20000,8482.40,424.05,2.36,11.92,1677.41,8161.77
13,20000,8489.55,424.41,2.36,12.04,1642.97,7973.19
9,20000,8493.81,424.62,2.35,11.93,1580.45,7611.08
15,20000,8488.88,424.37,2.36,11.89,1619.49,7351.69
8,20000,8532.74,426.55,2.34,12.14,1622.99,7750.14
11,20000,8554.86,427.67,2.34,12.16,1596.30,7848.71
14,20000,8584.02,429.13,2.33,12.05,1624.18,7881.90
28,20000,8609.31,430.40,2.32,11.69,1240.22,8174.19
26,20000,8696.62,434.76,2.30,11.95,1218.00,7980.04
31,20000,8696.71,434.64,2.30,12.01,1247.67,8061.23
30,20000,8728.01,436.33,2.29,11.84,1237.82,8146.64
29,20000,8742.25,437.04,2.29,11.73,1222.96,8410.93
24,20000,8751.54,437.51,2.29,11.95,1212.18,8124.19
27,20000,8791.34,439.50,2.27,11.78,1206.94,8415.36
25,20000,8878.78,443.87,2.25,11.72,1149.84,8868.39
