Client ID,Transaction Count,Total Execution Time,Mean Latency,Throughput,Median,95th Percentile,99th Percentile
25,20000,16300.20,814.88,1.23,576.43,1494.79,2442.13
11,20000,16677.59,833.79,1.20,569.87,1743.14,2963.12
39,20000,17098.40,854.70,1.17,596.90,1574.54,2703.72
12,20000,17318.00,865.82,1.15,575.00,1759.97,2917.29
10,20000,17355.28,867.68,1.15,576.35,1739.70,3019.93
26,20000,17474.77,873.60,1.14,572.77,1914.36,3412.74
37,20000,17521.48,875.99,1.14,584.31,1694.90,3420.64
38,20000,17552.62,877.51,1.14,600.80,1673.12,2762.73
13,20000,17649.44,882.37,1.13,592.28,1774.21,3156.31
27,20000,17865.18,893.19,1.12,575.87,1879.80,3333.38
22,20000,18146.39,907.23,1.10,576.13,1919.88,3398.15
23,20000,18211.38,910.47,1.10,592.23,1955.45,3333.79
24,20000,18605.53,930.17,1.07,586.49,1972.60,3637.35
28,20000,22200.35,1109.92,0.90,592.43,2593.88,7916.34
21,20000,22425.85,1121.21,0.89,518.18,3321.89,9657.63
16,20000,25373.64,1268.44,0.79,541.41,4491.53,10109.40
20,20000,26396.56,1319.76,0.76,542.13,4615.85,10552.56
15,20000,26627.08,1331.26,0.75,557.28,4356.75,10380.75
18,20000,26683.35,1334.08,0.75,567.32,4521.05,9790.43
14,20000,26739.56,1336.86,0.75,579.25,3590.55,14044.98
31,20000,27063.48,1353.10,0.74,538.82,5080.86,12727.96
17,20000,27180.29,1358.94,0.74,551.22,4716.09,10735.29
36,20000,27616.05,1380.72,0.72,533.55,5231.11,12614.60
35,20000,27731.97,1386.52,0.72,558.98,4880.13,10996.82
30,20000,28330.33,1416.44,0.71,548.75,5051.61,11587.11
33,20000,28476.32,1423.73,0.70,553.93,5232.86,12329.88
32,20000,28989.74,1449.42,0.69,547.58,5212.95,12202.29
19,20000,29319.45,1465.88,0.68,509.00,5058.64,17812.37
6,20000,29874.24,1493.64,0.67,525.90,5992.75,16795.25
1,20000,29983.39,1499.08,0.67,529.26,6084.88,15823.50
0,20000,30556.48,1527.75,0.65,534.15,5835.20,14699.19
5,20000,31157.91,1557.82,0.64,530.05,6129.38,14755.77
29,20000,31677.59,1583.79,0.63,496.81,5998.64,19542.44
3,20000,31840.34,1591.92,0.63,534.52,6208.43,15298.12
8,20000,31864.16,1593.11,0.63,541.70,6184.96,15392.52
34,20000,31841.95,1592.01,0.63,496.81,5908.88,21522.37
2,20000,32834.27,1641.62,0.61,516.87,6451.41,16549.96
7,20000,33197.86,1659.81,0.60,505.74,6517.73,17156.03
4,20000,35187.44,1759.29,0.57,469.34,6051.65,26428.36
9,20000,35511.70,1775.50,0.56,462.10,6048.32,26912.49
