Client ID,Transaction Count,Total Execution Time,Mean Latency,Throughput,Median,95th Percentile,99th Percentile
4,20000,3000.77,150.04,6.66,92.95,553.04,822.54
7,20000,3002.08,150.10,6.66,93.86,557.29,830.08
24,20000,3002.12,150.11,6.66,93.2,558.53,821.07
9,20000,3020.39,151.02,6.62,93.36,559.65,838.34
2,20000,3028.64,151.43,6.60,94.24,559.9,833.83
12,20000,3020.51,151.03,6.62,93.5,560.23,838.81
22,20000,3014.83,150.74,6.63,93.85,550.51,866.12
14,20000,3024.80,151.24,6.61,94.21,562.31,841.11
17,20000,3022.33,151.12,6.62,93.77,560.89,843.01
32,20000,3012.92,150.65,6.64,93.36,561.08,830.96
37,20000,3013.34,150.67,6.64,94.29,549.5,837.66
34,20000,3020.27,151.01,6.62,93.69,559.82,841.6
19,20000,3043.69,152.18,6.57,93.97,560.7,852.39
29,20000,3028.78,151.44,6.60,93.26,571.25,834.09
39,20000,3025.18,151.26,6.61,93.65,558.98,846.36
27,20000,3048.43,152.42,6.56,93.52,567.51,851.59
1,20000,3079.88,153.99,6.49,95.42,578.63,858.18
6,20000,3074.94,153.75,6.50,95.05,581.38,855.95
0,20000,3097.31,154.87,6.46,95.33,579.95,878.47
5,20000,3093.63,154.68,6.46,94.78,580.29,863.56
11,20000,3090.08,154.50,6.47,95.27,579.54,857.17
31,20000,3076.89,153.84,6.50,94.98,569.88,864.11
10,20000,3101.59,155.08,6.45,95.47,577.96,864.17
20,20000,3095.86,154.79,6.46,94.83,590.07,886.8
21,20000,3097.88,154.89,6.46,95.26,580.47,869.19
16,20000,3109.66,155.48,6.43,95.48,587.61,869.21
30,20000,3095.07,154.75,6.46,95.82,576.67,869.02
36,20000,3089.77,154.49,6.47,94.58,575.49,880.48
35,20000,3096.49,154.82,6.46,95.13,581.26,867.23
26,20000,3111.59,155.58,6.43,94.83,586,886.49
25,20000,3119.18,155.96,6.41,94.39,584.42,904.27
15,20000,3144.69,157.23,6.36,95.81,596.86,907.27
3,20000,3159.68,157.98,6.33,96.22,594.76,913.11
8,20000,3162.24,158.11,6.32,95.23,607.92,922.25
18,20000,3156.34,157.82,6.34,95.12,610.97,924.79
38,20000,3136.36,156.82,6.38,95.09,597.14,905.93
28,20000,3149.24,157.46,6.35,94.96,606.86,904.76
13,20000,3171.24,158.56,6.31,95.18,613.03,931.35
23,20000,3163.48,158.17,6.32,95.06,609.68,919.19
33,20000,3160.69,158.03,6.33,94.43,609.43,918.3
