Client ID,Transaction Count,Total Execution Time,Mean Latency,Throughput,Median,95th Percentile,99th Percentile
19,20000,4844.23,242.02,4.13,136.28,723.98,1023.43
7,20000,4857.66,242.69,4.12,138.19,727.64,1027.03
32,20000,4838.82,241.74,4.13,139.42,727.46,1020.39
22,20000,4856.03,242.59,4.12,139.28,725.31,1020.17
29,20000,4856.17,242.61,4.12,136.87,730.27,1029.51
2,20000,4923.25,245.96,4.06,139.01,729.00,1032.48
9,20000,4925.98,246.11,4.06,136.80,713.19,1012.22
17,20000,4925.87,246.09,4.06,138.84,729.07,1034.99
34,20000,4932.73,246.44,4.05,136.86,724.65,1004.87
25,20000,4949.21,247.26,4.04,139.85,738.12,1066.06
15,20000,4965.92,248.09,4.03,141.75,758.17,1067.70
1,20000,4980.68,248.82,4.02,142.62,744.34,1053.09
16,20000,4975.34,248.56,4.02,139.94,752.84,1090.23
10,20000,5032.52,251.41,3.97,140.25,745.69,1056.97
39,20000,5010.68,250.34,3.99,136.06,712.77,1001.57
26,20000,5032.11,251.38,3.97,143.07,747.99,1061.29
33,20000,5030.70,251.32,3.98,143.96,773.61,1118.26
36,20000,5028.12,251.20,3.98,140.99,735.47,1061.47
24,20000,5041.40,251.89,3.97,135.65,716.98,1019.03
11,20000,5057.85,252.68,3.95,140.88,737.39,1048.96
20,20000,5056.27,252.61,3.96,141.61,744.85,1081.15
38,20000,5049.34,252.26,3.96,143.68,765.20,1083.73
8,20000,5095.90,254.58,3.92,140.97,760.75,1115.59
4,20000,5103.20,254.97,3.92,134.78,707.72,970.55
27,20000,5079.20,253.75,3.94,138.60,721.85,1025.97
6,20000,5108.74,255.21,3.91,139.28,742.82,1048.15
5,20000,5120.78,255.83,3.91,139.28,738.61,1057.33
31,20000,5100.76,254.83,3.92,140.43,729.26,1062.23
18,20000,5136.62,256.63,3.89,141.70,767.74,1133.05
21,20000,5139.36,256.76,3.89,139.36,743.72,1052.38
28,20000,5141.74,256.88,3.89,142.00,764.18,1120.10
12,20000,5159.43,257.78,3.88,137.05,719.97,1014.17
0,20000,5172.28,258.41,3.87,138.04,732.42,1058.33
13,20000,5168.91,258.24,3.87,142.03,770.20,1138.19
3,20000,5191.54,259.37,3.85,140.90,755.29,1091.22
35,20000,5161.52,257.87,3.87,139.89,730.65,1053.12
23,20000,5181.25,258.86,3.86,141.51,764.73,1113.28
30,20000,5177.19,258.65,3.86,140.92,738.50,1067.64
14,20000,5222.57,260.94,3.83,133.34,708.71,999.60
37,20000,5207.19,260.16,3.84,135.62,702.40,1021.40
